Fecha,Almacenamiento utilizado en Gmail,Almacenamiento utilizado en Drive,Almacenamiento utilizado en Fotos,Almacenamiento utilizado por las unidades compartidas
24 nov 2021 00:00:00 GMT-8,23185814,124443058,12052820,0
25 nov 2021 00:00:00 GMT-8,23207708,124825334,12052820,0
26 nov 2021 00:00:00 GMT-8,23236684,125350366,12052820,0
27 nov 2021 00:00:00 GMT-8,23245578,125627466,12052820,0
28 nov 2021 00:00:00 GMT-8,23239333,125758486,12052820,0
29 nov 2021 00:00:00 GMT-8,23261003,126058710,12052820,0
30 nov 2021 00:00:00 GMT-8,23282559,126418072,12052820,0
1 dic 2021 00:00:00 GMT-8,23306878,126762357,12052665,0
2 dic 2021 00:00:00 GMT-8,23332194,127226920,12052665,0
3 dic 2021 00:00:00 GMT-8,23355845,127844156,12052665,0
4 dic 2021 00:00:00 GMT-8,23365031,128172277,12052665,0
5 dic 2021 00:00:00 GMT-8,23370125,128340445,12052665,0
6 dic 2021 00:00:00 GMT-8,23391717,128770371,12052665,0
7 dic 2021 00:00:00 GMT-8,23411348,129230193,12052665,0
8 dic 2021 00:00:00 GMT-8,23448379,129699305,12052665,0
9 dic 2021 00:00:00 GMT-8,23472553,130161901,12052646,0
10 dic 2021 00:00:00 GMT-8,23496322,130736130,12052645,0
11 dic 2021 00:00:00 GMT-8,23506008,131040987,12052645,0
12 dic 2021 00:00:00 GMT-8,23509911,131192667,12052645,0
13 dic 2021 00:00:00 GMT-8,23601206,131517476,12052645,0
14 dic 2021 00:00:00 GMT-8,23622410,131860584,12052645,0
15 dic 2021 00:00:00 GMT-8,23655684,132132830,12052645,0
16 dic 2021 00:00:00 GMT-8,23674075,132382877,12052642,0
17 dic 2021 00:00:00 GMT-8,23697818,132592253,12052642,0
18 dic 2021 00:00:00 GMT-8,23705278,132720260,12052642,0
19 dic 2021 00:00:00 GMT-8,23707230,132750079,12052642,0
20 dic 2021 00:00:00 GMT-8,23711361,132762095,12052642,0
21 dic 2021 00:00:00 GMT-8,23714875,132779424,12052637,0
22 dic 2021 00:00:00 GMT-8,23716896,132827406,12052637,0
23 dic 2021 00:00:00 GMT-8,23717720,132836907,12052637,0
24 dic 2021 00:00:00 GMT-8,23717723,132819627,12052637,0
25 dic 2021 00:00:00 GMT-8,23717618,132797262,12052637,0
